AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
3.0,8.0,5.0,20.0,8.0,5.0,16.0,15.0,0.0,5.0,8.0,16.0,12.0,11.0,0.0,100.0,4.0,3.0,1.0,1.0,25.0,17.0,6.0,0.0,3.0,2.0,5.0
2.0,13.0,4.0,24.0,7.0,10.0,16.0,13.0,0.0,3.0,4.0,12.0,24.0,34.0,2.0,87.0,5.0,3.0,3.0,0.0,21.0,16.0,7.0,1.0,7.0,4.0,3.0
2.0,18.0,7.0,21.0,9.0,9.0,10.0,21.0,1.0,7.0,10.0,11.0,14.0,22.0,1.0,85.0,6.0,3.0,2.0,1.0,22.0,28.0,12.0,0.0,4.0,2.0,3.0
1.0,16.0,4.0,13.0,4.0,12.0,18.0,20.0,0.0,4.0,10.0,13.0,9.0,20.0,2.0,92.0,7.0,1.0,1.0,4.0,35.0,17.0,6.0,1.0,4.0,5.0,5.0
6.0,8.0,4.0,23.0,5.0,8.0,12.0,20.0,1.0,5.0,13.0,13.0,15.0,21.0,4.0,71.0,8.0,1.0,2.0,3.0,21.0,20.0,11.0,2.0,1.0,3.0,6.0
2.0,24.0,7.0,19.0,4.0,11.0,13.0,17.0,0.0,5.0,13.0,16.0,18.0,26.0,3.0,84.0,12.0,5.0,2.0,1.0,29.0,23.0,5.0,0.0,8.0,1.0,6.0
3.0,19.0,5.0,31.0,7.0,14.0,12.0,12.0,0.0,2.0,7.0,12.0,8.0,17.0,3.0,91.0,3.0,1.0,1.0,5.0,18.0,27.0,9.0,0.0,1.0,2.0,3.0
2.0,10.0,3.0,19.0,5.0,12.0,13.0,15.0,0.0,4.0,8.0,13.0,14.0,19.0,1.0,81.0,4.0,1.0,3.0,1.0,21.0,12.0,7.0,0.0,1.0,4.0,4.0
2.0,14.0,4.0,15.0,3.0,11.0,10.0,13.0,0.0,7.0,8.0,15.0,15.0,24.0,0.0,101.0,6.0,3.0,0.0,1.0,21.0,15.0,9.0,0.0,7.0,2.0,4.0
3.0,14.0,3.0,17.0,6.0,11.0,9.0,15.0,1.0,3.0,6.0,10.0,19.0,22.0,3.0,85.0,8.0,2.0,3.0,3.0,13.0,17.0,5.0,2.0,9.0,3.0,10.0
3.0,18.0,4.0,14.0,2.0,14.0,2.0,16.0,1.0,1.0,6.0,14.0,17.0,23.0,1.0,90.0,3.0,1.0,2.0,0.0,14.0,15.0,8.0,0.0,4.0,3.0,5.0
3.0,16.0,4.0,17.0,3.0,7.0,14.0,16.0,0.0,3.0,14.0,12.0,13.0,31.0,2.0,85.0,7.0,0.0,0.0,4.0,28.0,11.0,3.0,3.0,2.0,5.0,4.0
0.0,19.0,7.0,15.0,3.0,13.0,17.0,19.0,0.0,5.0,20.0,12.0,14.0,22.0,4.0,72.0,3.0,3.0,2.0,2.0,21.0,17.0,12.0,1.0,5.0,4.0,5.0
2.0,20.0,1.0,14.0,4.0,10.0,19.0,22.0,0.0,3.0,8.0,15.0,15.0,20.0,2.0,76.0,5.0,2.0,1.0,3.0,20.0,18.0,8.0,1.0,3.0,2.0,4.0
1.0,12.0,3.0,24.0,4.0,8.0,8.0,11.0,0.0,7.0,6.0,14.0,11.0,16.0,0.0,89.0,7.0,1.0,1.0,4.0,17.0,17.0,4.0,1.0,6.0,0.0,3.0
3.0,10.0,4.0,19.0,5.0,9.0,11.0,15.0,1.0,5.0,9.0,16.0,16.0,23.0,0.0,101.0,6.0,1.0,3.0,0.0,21.0,17.0,10.0,0.0,8.0,2.0,3.0
1.0,13.0,8.0,13.0,4.0,16.0,10.0,15.0,0.0,3.0,10.0,14.0,18.0,21.0,1.0,84.0,3.0,0.0,1.0,1.0,19.0,14.0,7.0,0.0,3.0,6.0,7.0
3.0,14.0,2.0,18.0,3.0,8.0,6.0,20.0,1.0,5.0,6.0,13.0,20.0,25.0,1.0,95.0,9.0,0.0,5.0,2.0,22.0,26.0,5.0,1.0,2.0,2.0,1.0
1.0,16.0,4.0,9.0,8.0,7.0,8.0,20.0,0.0,5.0,6.0,11.0,22.0,32.0,2.0,84.0,6.0,3.0,2.0,1.0,20.0,11.0,9.0,1.0,2.0,2.0,8.0
2.0,13.0,3.0,23.0,11.0,4.0,15.0,16.0,0.0,6.0,8.0,16.0,12.0,26.0,11.0,93.0,2.0,1.0,0.0,1.0,12.0,11.0,9.0,0.0,8.0,8.0,2.0
0.0,13.0,4.0,23.0,6.0,9.0,11.0,15.0,1.0,6.0,6.0,11.0,12.0,30.0,5.0,86.0,3.0,1.0,2.0,1.0,25.0,14.0,12.0,1.0,5.0,2.0,4.0
